meanOpts,sdOpts,rmse,coverage,mape
5.5,3.5,0.10690131106074786,0.9655172413793104,0.06958445813540032
5.5,4,0.10951606273767403,0.9568965517241379,0.07105728760114789
5.5,4.5,0.12266913717045612,0.9401709401709402,0.07611228319937603
5.5,5,0.12474723394867736,0.9316239316239316,0.07766676539531671
5.5,5.5,0.12633984761987896,0.9316239316239316,0.07916008273913884
5.5,6,0.12747903627078513,0.9316239316239316,0.08054363027929588
5.5,6.5,0.13890470380077044,0.9152542372881356,0.08658242264459162
5.5,7,0.13972711225539347,0.9152542372881356,0.08785449799671169
5.5,7.5,0.14030203739277539,0.8898305084745762,0.089295550944616
5.5,8,0.16459683454017826,0.865546218487395,0.10572366738119925
5.5,8.5,0.16490161717810595,0.8487394957983193,0.10652840351083076
5.5,9,0.16508503988626425,0.8487394957983193,0.1071630842692845
5.5,9.5,0.1650989472165566,0.8571428571428571,0.10783697334913547
5.5,10,0.16330294720781033,0.85,0.1104204867429778
6,0.5,0.08199625265522854,0.9826086956521739,0.058427969326200195
6,1,0.08302953290170308,0.9826086956521739,0.05895759952227782
6,1.5,0.08488736974891059,0.9739130434782609,0.059914064594863294
6,2,0.08751647211232653,0.9739130434782609,0.061500477375768324
6,2.5,0.09043213828291301,0.9652173913043478,0.0631852812083682
6,3,0.09330584962644888,0.9739130434782609,0.06482663470212385
6,3.5,0.10428992705508193,0.9741379310344828,0.06875345543868583
6,4,0.10723107399819527,0.9568965517241379,0.07017714976411282
6,4.5,0.1096040335286963,0.9568965517241379,0.07137087407106658
6,5,0.1114398467816575,0.9482758620689655,0.07246864032730485
6,5.5,0.12460600382151149,0.9401709401709402,0.07758757993026374
6,6,0.12604443913909802,0.9316239316239316,0.07890072707205824
6,6.5,0.12716270558755063,0.9316239316239316,0.08033788234819778
6,7,0.1279413454359912,0.9316239316239316,0.08172177233189087
6,7.5,0.1394115859780187,0.9152542372881356,0.08754844545721728
6,8,0.1400125884434753,0.8983050847457628,0.08879052682265279
6,8.5,0.14045295429194385,0.8898305084745762,0.09014283239162776
6,9,0.16553884224703982,0.8571428571428571,0.10651018641852598
6,9.5,0.1657611815056777,0.8487394957983193,0.1072780738513978
6,10,0.16583871586764612,0.8487394957983193,0.10803136472636818
6.5,0.5,0.07957251133846624,0.9739130434782609,0.058433377836607264
6.5,1,0.08068303806430877,0.9652173913043478,0.05914116065612957
6.5,1.5,0.08268873334838012,0.9652173913043478,0.060438584567348304
6.5,2,0.0854366165577657,0.9652173913043478,0.06204331533783401
6.5,2.5,0.08849524225998158,0.9652173913043478,0.06378980107746376
6.5,3,0.0914997963401423,0.9652173913043478,0.06537577916152684
6.5,3.5,0.09427669488662352,0.9652173913043478,0.06661028816991404
6.5,4,0.09656530532151579,0.9652173913043478,0.06768543393050697
6.5,4.5,0.1077635673365358,0.9568965517241379,0.07110825113846253
6.5,5,0.10986848410596965,0.9568965517241379,0.0719677114678834
6.5,5.5,0.1115319557680304,0.9482758620689655,0.072863683849335
6.5,6,0.1127796877065155,0.9482758620689655,0.0737285256914816
6.5,6.5,0.11370188555346335,0.9482758620689655,0.07472461563122802
6.5,7,0.1268715530407215,0.9316239316239316,0.08014402485956593
6.5,7.5,0.12762774365225396,0.9230769230769231,0.08149688932920153
6.5,8,0.12819595931965208,0.905982905982906,0.08280694126149722
6.5,8.5,0.15963680923530588,0.8728813559322034,0.10134335968011132
6.5,9,0.16044901729003463,0.8728813559322034,0.10242324320485437
6.5,9.5,0.1609221308622154,0.8728813559322034,0.103319424875327
6.5,10,0.16122537035109943,0.8559322033898306,0.104238373992266
7,0.5,0.07796428530831512,0.9824561403508771,0.05901566206924904
7,1,0.07868295749178467,0.9736842105263158,0.05979028391618581
7,1.5,0.08000726288576124,0.9736842105263158,0.06099094473032145
7,2,0.08184434544908428,0.9736842105263158,0.062476849598530726
7,2.5,0.0840220917770812,0.9649122807017544,0.06402208433795649
7,3,0.08624607578488837,0.9649122807017544,0.06553230401607249
7,3.5,0.09307643220984947,0.9652173913043478,0.06745228185211527
7,4,0.09552933600961426,0.9652173913043478,0.06838354403301866
7,4.5,0.09755102208336765,0.9652173913043478,0.06921373343799503
7,5,0.0991738728799951,0.9739130434782609,0.06987984785137386
7,5.5,0.10042826387019367,0.9739130434782609,0.07053430968666953
7,6,0.1116806348729349,0.9482758620689655,0.07348548559665555
7,6.5,0.11281817465392943,0.9482758620689655,0.07430177834962501
7,7,0.11365492625578097,0.9482758620689655,0.07521588681047649
7,7.5,0.11427763800605023,0.9482758620689655,0.07622857411936583
7,8,0.14741131939396138,0.8888888888888888,0.0953970017685013
7,8.5,0.14856411691707408,0.8803418803418803,0.09644025024956775
7,9,0.1495085493603617,0.8717948717948718,0.09719281190136068
7,9.5,0.16064548314579155,0.8728813559322034,0.10241194513780327
7,10,0.1611347615417388,0.8728813559322034,0.10316794339303365
7.5,0.5,0.07804710917044815,0.9824561403508771,0.060687635115418685
7.5,1,0.07877386611441328,0.9736842105263158,0.06157536439225992
7.5,1.5,0.08009728754019096,0.9736842105263158,0.062841111550105
7.5,2,0.08193484631356528,0.9736842105263158,0.06434227350756266
7.5,2.5,0.08406918199774148,0.9736842105263158,0.06574278460942733
7.5,3,0.08627281609400915,0.9736842105263158,0.06700746321880376
7.5,3.5,0.08831483144235053,0.9649122807017544,0.06822329707026575
7.5,4,0.09009728269529248,0.9649122807017544,0.06907540667342763
7.5,4.5,0.09157819005807302,0.9649122807017544,0.06962309550646405
7.5,5,0.09856375472547348,0.9652173913043478,0.07043514992981838
7.5,5.5,0.0999714927179185,0.9652173913043478,0.07093426385855263
7.5,6,0.10101550448782073,0.9652173913043478,0.07156541360593252
7.5,6.5,0.10179018583227302,0.9565217391304348,0.07224388677450105
7.5,7,0.1129519162319736,0.9396551724137931,0.07505931850623364
7.5,7.5,0.11368157137169353,0.9396551724137931,0.07593944231694748
7.5,8,0.11422944470708046,0.9396551724137931,0.0767005551796629
7.5,8.5,0.11462959983875887,0.9310344827586207,0.07758223149681051
7.5,9,0.14867939528636118,0.8717948717948718,0.09668618161472008
7.5,9.5,0.14955087571474987,0.8632478632478633,0.09735016481958604
7.5,10,0.15022545337190787,0.8547008547008547,0.09799998030406197
8,0.5,0.07897064240466128,0.9823008849557522,0.06262828041403741
8,1,0.07965350489729396,0.9734513274336283,0.0635852819336725
8,1.5,0.08073005737856244,0.9734513274336283,0.06490542257781542
8,2,0.08216536738290789,0.9646017699115044,0.06636661541366433
8,2.5,0.08380192610326731,0.9557522123893806,0.06781910012521526
8,3,0.08550697773086108,0.9469026548672567,0.06906484232149648
8,3.5,0.08876131278057388,0.9649122807017544,0.06979492663027678
8,4,0.0904735285797037,0.9649122807017544,0.07053271929799601
8,4.5,0.09194380144334167,0.956140350877193,0.07101875693910957
8,5,0.09309923408479837,0.9385964912280702,0.07131548222114534
8,5.5,0.09401030724291679,0.9385964912280702,0.07153140159470812
8,6,0.09462945394725816,0.9385964912280702,0.071818623712524
8,6.5,0.10156413486492817,0.9565217391304348,0.0725164465013085
8,7,0.10225291309428691,0.9565217391304348,0.07323941846398399
8,7.5,0.10268317065353472,0.9565217391304348,0.0740476228347279
