meanOpts,sdOpts,rmse_cc,coverage_cc,mape_cc,rmse_h,coverage_h,mape_h
2.5,9.5,0.17910969158595988,0.5378787878787878,0.1157087143594458,NA,NA,NA
2.5,10,0.1793398698683884,0.5378787878787878,0.11586515885303368,NA,NA,NA
3,0.5,0.12903114907081215,0.5581395348837209,0.08960756293113241,NA,NA,NA
3,1,0.13079532168445634,0.5658914728682171,0.09064614258013855,NA,NA,NA
3,1.5,0.13330289579555202,0.5736434108527132,0.09214874816699316,NA,NA,NA
3,2,0.13634276221834427,0.5581395348837209,0.0939573923819423,NA,NA,NA
3,2.5,0.142712099378352,0.5615384615384615,0.09675927419357835,NA,NA,NA
3,3,0.14693692071045886,0.5615384615384615,0.09900116411368247,NA,NA,NA
3,3.5,0.15069003025413147,0.5538461538461539,0.10097098743487314,NA,NA,NA
3,4,0.15846202259329814,0.549618320610687,0.10435473013091433,NA,NA,NA
3,4.5,0.16157935056244588,0.549618320610687,0.10609606710974036,NA,NA,NA
3,5,0.16419818252385276,0.549618320610687,0.1075480647124784,NA,NA,NA
